contrast	Subtype	estimate	SE	df	z.ratio	p.value
Fusiform Gyrus - Frontal Pole	L	0.09632510461181393	0.014522204002910122	Inf	6.632953551162841	7.057815254452038e-8
Fusiform Gyrus - Frontal Operculum	L	0.048520036640186594	0.01452220400291013	Inf	3.341093172252888	0.8331621535234939
Fusiform Gyrus - Parietal Operculum	L	0.056453673373575694	0.014522204002910117	Inf	3.8874039617032574	0.19534914807760495
Fusiform Gyrus - Cuneus	L	0.048172832631423294	0.014522204002910127	Inf	3.3171846795272857	0.8579142969492408
Fusiform Gyrus - Anterior Orbital Gyrus	L	0.07432937690487115	0.014522204002910124	Inf	5.118326177622638	6.609974308936506e-4
Fusiform Gyrus - Cerebellum White Matter	L	0.09477460283897104	0.01452220400291012	Inf	6.526185888862259	1.4471367726365258e-7
Fusiform Gyrus - Superior Temporal Gyrus	L	0.02114339026306511	0.014522204002910127	Inf	1.4559353565635182	1
Fusiform Gyrus - Pallidum	L	0.16438663976351212	0.014522204002910127	Inf	11.31967570009142	0
Fusiform Gyrus - Cerebellum Exterior	L	0.09524541784142945	0.01452220400291012	Inf	6.55860624340101	1.1650137510255121e-7
Fusiform Gyrus - Superior Occipital Gyrus	L	0.07375124637418974	0.014522204002910122	Inf	5.0785160681815675	8.156130614559443e-4
Fusiform Gyrus - Medial Frontal Cortex	L	0.04606619381479468	0.014522204002910124	Inf	3.17212138085675	0.9611668708363708
Fusiform Gyrus - Occipital Pole	L	0.0444724925596354	0.01452220400291012	Inf	3.0623789991328803	0.9910426618489272
Fusiform Gyrus - Posterior Insula	L	0.050337347909650054	0.014522204002910112	Inf	3.466233355457817	0.6777541583899946
Fusiform Gyrus - (Cerebellar Vermal Lobules I-V)	L	0.14774133063047296	0.014522204002910119	Inf	10.173478529902688	0
Accumbens - Supplementary Motor Cortex	L	0.03123546350181905	0.01452220400289398	Inf	2.1508762372154018	1
Accumbens - Central Operculum	L	-0.03868687066134968	0.014522204002893986	Inf	-2.663980663929536	0.9999999399690861
Accumbens - Triangular Part of the Inferior Frontal Gyrus	L	-0.021337921382185224	0.014522204002893982	Inf	-1.4693307832566604	1
Accumbens - Thalamus Proper	L	-0.0022468962595923736	0.014522204002893984	Inf	-0.15472143616386413	1
Accumbens - Putamen	L	0.03454170494086453	0.014522204002893982	Inf	2.378544257743595	1
Accumbens - Inferior Occipital Gyrus	L	-0.06952123496771827	0.014522204002893984	Inf	-4.7872371820327055	0.0036204771731283003
Accumbens - Calcarine Cortex	L	-0.016292312517924956	0.014522204002893977	Inf	-1.121889798179273	1
Accumbens - Entorhinal Area	L	-0.08197945815984406	0.01452220400289398	Inf	-5.645111316678048	3.5407833585687776e-5
Accumbens - Postcentral Gyrus	L	0.024685980001910343	0.014522204002893977	Inf	1.6998783378191722	1
Accumbens - Middle Cingulate Gyrus	L	0.017041599428072138	0.014522204002893986	Inf	1.1734857480776393	1
Accumbens - Medial Orbital Gyrus	L	-0.029743832716154717	0.01452220400289398	Inf	-2.0481624352768613	1
Accumbens - (Cerebellar Vermal Lobules VI-VII)	L	0.05031094507364561	0.014522204002893984	Inf	3.464415254297464	0.6802209314005194
Accumbens - Cerebral White Matter	L	0.08524141392842571	0.014522204002893984	Inf	5.869729822789902	9.363007463236706e-6
Accumbens - Middle Occipital Gyrus	L	-0.058585606602426635	0.014522204002893984	Inf	-4.034209035402044	0.11087756178370034
Accumbens - Planum Polare	L	-0.06378995134827695	0.014522204002893979	Inf	-4.392580584570008	0.02374059343363033
Accumbens - (Cerebellar Vermal Lobules VIII-X)	L	0.039732019575954874	0.014522204002893984	Inf	2.7359496924872477	0.9999984599281846
Accumbens - Parahippocampus Gyrus	L	-0.07372537574492874	0.014522204002893986	Inf	-5.076734614817196	8.232908578515996e-4
Accumbens - Superior Frontal Gyrus Medial Segment	L	-0.026070288382387022	0.014522204002893982	Inf	-1.7952019113071087	1
Accumbens - Middle Frontal Gyrus	L	-8.182963085599654e-4	0.014522204002893986	Inf	-0.05634794197884117	1
Accumbens - Anterior Cingulate Gyrus	L	-0.006167208519284678	0.014522204002893984	Inf	-0.42467441705513	1
Accumbens - Precentral Gyrus	L	0.016792569186924428	0.014522204002893984	Inf	1.1563375079690388	1
Accumbens - Orbital Part of the Inferior Frontal Gyrus	L	-0.038089287146568215	0.014522204002893984	Inf	-2.622831020620409	0.9999999930669896
Accumbens - Temporal Pole	L	-0.0737173880194388	0.014522204002893986	Inf	-5.076184579472124	8.256754804851774e-4
Accumbens - Ventral DC	L	-0.041726326490022746	0.014522204002893982	Inf	-2.8732778083621144	0.9998385838905017
Accumbens - Inferior Temporal Gyrus	L	-0.08800726009143871	0.014522204002893982	Inf	-6.060186186194646	2.916425122179156e-6
Accumbens - Opercular Part of the Inferior Frontal Gyrus	L	-0.006628766774449124	0.014522204002893986	Inf	-0.4564573513172066	1
Accumbens - Transverse Temporal Gyrus	L	-0.03947477753274133	0.01452220400289398	Inf	-2.7182359871046304	0.9999992656293165
Accumbens - Planum Temporale	L	-0.0595771752304292	0.014522204002893984	Inf	-4.10248852161536	0.08394090890234684
Accumbens - Precuneus	L	-0.022734736842793028	0.01452220400289398	Inf	-1.5655155951715356	1
Accumbens - Brainstem	L	0.04344161121654572	0.014522204002893982	Inf	2.9913924365673887	0.9974332912996469
Accumbens - Superior Parietal Lobule	L	0.013570474978144315	0.01452220400289398	Inf	0.9344638716988134	1
Accumbens - Hippocampus	L	-0.08222789944140312	0.014522204002893982	Inf	-5.6622190009875055	3.205178089549232e-5
Accumbens - Occipital Fusiform Gyrus	L	-0.08292524771784762	0.01452220400289398	Inf	-5.710238452876871	2.4199166533400707e-5
Accumbens - Supramarginal Gyrus	L	-0.02012356126364262	0.014522204002893977	Inf	-1.3857098591668597	1
Accumbens - Gyrus Rectus	L	-0.032732307188582034	0.014522204002893982	Inf	-2.253948999894172	1
Accumbens - Middle Temporal Gyrus	L	-0.08496539126510508	0.014522204002893984	Inf	-5.850722882571625	1.0498456723073701e-5
Accumbens - Posterior Orbital Gyrus	L	-0.05254178583396682	0.01452220400289398	Inf	-3.618031107640156	0.4710406116292619
Accumbens - Amygdala	L	-0.08013485956055873	0.014522204002893982	Inf	-5.518092126001636	7.350640155545651e-5
Accumbens - Postcentral Gyrus Medial Segment	L	0.05347120426821761	0.014522204002893982	Inf	3.6820309270935647	0.39126648069458025
Accumbens - Anterior Insula	L	-0.02978138481803947	0.014522204002893982	Inf	-2.050748275682165	1
Accumbens - Optic Chiasm	L	0.03269083021060548	0.014522204002893984	Inf	2.251092892242173	1
Accumbens - Superior Frontal Gyrus	L	0.010805927821652628	0.01452220400289398	Inf	0.7440969579754716	1
Accumbens - Caudate	L	0.06653891980580867	0.014522204002893982	Inf	4.5818747479755	0.009836044692107637
Accumbens - Lingual Gyrus	L	-0.06977545238885853	0.01452220400289398	Inf	-4.804742611724343	0.0033181779087042562
Accumbens - Precentral Gyrus Medial Segment	L	0.043006898541950334	0.01452220400289398	Inf	2.9614580908917083	0.9986090501110352
Accumbens - Lateral Orbital Gyrus	L	-0.020588885901291515	0.014522204002893979	Inf	-1.4177521467945617	1
Accumbens - Basal Forebrain	L	-0.042142172665546214	0.014522204002893982	Inf	-2.9019130055705133	0.9996544637792864
Accumbens - Subcallosal Area	L	-0.028774983687504876	0.014522204002893984	Inf	-1.9814474222900738	1
Accumbens - Posterior Cingulate Gyrus	L	-0.032731915112207355	0.014522204002893986	Inf	-2.253922001487139	1
Accumbens - Angular Gyrus	L	-0.04092339002732123	0.014522204002893984	Inf	-2.8179875464609934	0.9999692919924571
Accumbens - Frontal Pole	L	0.012430438520721426	0.014522204002893984	Inf	0.8559608801972682	1
Accumbens - Frontal Operculum	L	-0.03537462945090591	0.014522204002893986	Inf	-2.4358994987163416	0.9999999999999886
Accumbens - Parietal Operculum	L	-0.027440992717516807	0.01452220400289398	Inf	-1.8895887092653687	1
Accumbens - Cuneus	L	-0.03572183345966921	0.014522204002893984	Inf	-2.4598079914419713	0.999999999999909
Accumbens - Anterior Orbital Gyrus	L	-0.009565289186221348	0.014522204002893982	Inf	-0.6586664933446176	1
Accumbens - Cerebellum White Matter	L	0.010879936747878544	0.014522204002893984	Inf	0.7491932178965666	1
Accumbens - Superior Temporal Gyrus	L	-0.06275127582802739	0.014522204002893984	Inf	-4.321057314407808	0.03275991169318826
Accumbens - Pallidum	L	0.08049197367241961	0.014522204002893986	Inf	5.542683029131058	6.389145721508172e-5
Accumbens - Cerebellum Exterior	L	0.011350751750336951	0.01452220400289398	Inf	0.7816135724353532	1
Accumbens - Superior Occipital Gyrus	L	-0.01014341971690276	0.014522204002893984	Inf	-0.6984766027857328	1
Accumbens - Medial Frontal Cortex	L	-0.03782847227629782	0.014522204002893984	Inf	-2.604871290112669	0.9999999974965311
Accumbens - Occipital Pole	L	-0.0394221735314571	0.014522204002893984	Inf	-2.7146136718366614	0.9999993716537594
