L	Cerebral White Matter	1.591282126852179	0.01253597558474485	Inf	1.5667120661950058	1.6158521875093523
IH	Cerebral White Matter	1.6321753367207283	0.017558891622315935	Inf	1.597760541532547	1.6665901319089096
H	Cerebral White Matter	1.6579578782699405	0.015261047626014698	Inf	1.6280467745566012	1.6878689819832797
IL	Cerebral White Matter	1.67179419208202	0.018965770592612563	Inf	1.6346219647814506	1.7089664193825895
L	Pallidum	1.5960315671081853	0.012535975584744853	Inf	1.571461506451012	1.6206016277653585
IH	Pallidum	1.67703898268972	0.017558891622315914	Inf	1.6426241875015388	1.7114537778779013
H	Pallidum	1.643614196220481	0.015261047626014683	Inf	1.6137030925071418	1.6735252999338204
IL	Pallidum	1.6199461518764309	0.018965770592612577	Inf	1.5827739245758614	1.6571183791770003
L	Caudate	1.609984620974796	0.012535975584744848	Inf	1.5854145603176228	1.6345546816319694
IH	Caudate	1.604572156539156	0.01755889162231593	Inf	1.5701573613509747	1.6389869517273372
H	Caudate	1.5965356742934	0.015261047626014695	Inf	1.5666245705800608	1.6264467780067393
IL	Caudate	1.7354136501419941	0.018965770592612573	Inf	1.6982414228414247	1.7725858774425636
L	Cerebellar Vermal Lobules I-V	1.6126768762412245	0.01253597558474485	Inf	1.5881068155840512	1.6372469368983977
IH	Cerebellar Vermal Lobules I-V	1.6879775535567176	0.017558891622315914	Inf	1.6535627583685364	1.7223923487448989
H	Cerebellar Vermal Lobules I-V	1.6155466116768995	0.015261047626014681	Inf	1.5856355079635602	1.6454577153902388
IL	Cerebellar Vermal Lobules I-V	1.6020824945349323	0.018965770592612577	Inf	1.5649102672343629	1.6392547218355018
L	Postcentral Gyrus Medial Segment	1.6230523365123872	0.01253597558474485	Inf	1.598482275855214	1.6476223971695605
IH	Postcentral Gyrus Medial Segment	1.6023393013996203	0.01755889162231593	Inf	1.567924506211439	1.6367540965878016
H	Postcentral Gyrus Medial Segment	1.6145636438531035	0.015261047626014688	Inf	1.5846525401397642	1.6444747475664427
IL	Postcentral Gyrus Medial Segment	1.6757205652135356	0.01896577059261258	Inf	1.6385483379129662	1.712892792514105
L	Hippocampus	1.758751440222008	0.012535975584744848	Inf	1.7341813795648346	1.7833215008791812
IH	Hippocampus	1.5626981597582743	0.01755889162231593	Inf	1.528283364570093	1.5971129549464556
H	Hippocampus	1.4544541556972317	0.015261047626014696	Inf	1.4245430519838924	1.484365259410571
IL	Hippocampus	1.6514120851543455	0.018965770592612573	Inf	1.614239857853776	1.688584312454915
L	Occipital Fusiform Gyrus	1.7594487884984524	0.012535975584744846	Inf	1.7348787278412792	1.7840188491556257
IH	Occipital Fusiform Gyrus	1.5473803866398008	0.017558891622315925	Inf	1.5129655914516196	1.581795181827982
H	Occipital Fusiform Gyrus	1.4959501518855352	0.015261047626014702	Inf	1.4660390481721959	1.5258612555988744
IL	Occipital Fusiform Gyrus	1.610844450842256	0.01896577059261257	Inf	1.5736722235416865	1.6480166781428254
L	Fusiform Gyrus	1.7604182068716974	0.01253597558476242	Inf	1.7358481462144897	1.784988267528905
IH	Fusiform Gyrus	1.5648089804830119	0.017558891622315744	Inf	1.5303941852948308	1.599223775671193
H	Fusiform Gyrus	1.4480263603216605	0.015261047626014502	Inf	1.4181152566083217	1.4779374640349994
IL	Fusiform Gyrus	1.6575569929824907	0.018965770592612483	Inf	1.6203847656819215	1.69472922028306
L	Middle Temporal Gyrus	1.7614889320457099	0.012535975584744851	Inf	1.7369188713885366	1.7860589927028832
IH	Middle Temporal Gyrus	1.5254322722658984	0.017558891622315928	Inf	1.4910174770777171	1.5598470674540796
H	Middle Temporal Gyrus	1.4573899831572048	0.015261047626014691	Inf	1.4274788794438655	1.487301086870544
IL	Middle Temporal Gyrus	1.682520602190892	0.018965770592612577	Inf	1.6453483748903226	1.7196928294914615
L	Inferior Temporal Gyrus	1.7645308008720435	0.012535975584744846	Inf	1.7399607402148702	1.7891008615292168
IH	Inferior Temporal Gyrus	1.556422318458446	0.01755889162231593	Inf	1.5220075232702648	1.5908371136466273
H	Inferior Temporal Gyrus	1.4492576076270385	0.015261047626014695	Inf	1.4193465039136992	1.4791687113403778
IL	Inferior Temporal Gyrus	1.6538100452862474	0.01896577059261258	Inf	1.616637817985678	1.6909822725868169
L	Triangular Part of the Inferior Frontal Gyrus	1.69786146216279	0.012535975584744848	Inf	1.6732914015056168	1.7224315228199634
IH	Triangular Part of the Inferior Frontal Gyrus	1.4780057455382178	0.017558891622315945	Inf	1.4435909503500366	1.512420540726399
H	Triangular Part of the Inferior Frontal Gyrus	1.5934404339337034	0.015261047626014707	Inf	1.5635293302203641	1.6233515376470427
IL	Triangular Part of the Inferior Frontal Gyrus	1.681603980150258	0.018965770592612573	Inf	1.6444317528496886	1.7187762074508275
L	Frontal Operculum	1.7118981702315108	0.012535975584744855	Inf	1.6873281095743375	1.736468230888684
IH	Frontal Operculum	1.4811915321436147	0.017558891622315918	Inf	1.4467767369554334	1.515606327331796
H	Frontal Operculum	1.5565459569716409	0.015261047626014696	Inf	1.5266348532583016	1.5864570606849802
IL	Frontal Operculum	1.708097182776139	0.01896577059261257	Inf	1.6709249554755696	1.7452694100767085
L	Middle Frontal Gyrus	1.6773418370891648	0.012535975584744853	Inf	1.6527717764319916	1.701911897746338
IH	Middle Frontal Gyrus	1.4909727576930805	0.01755889162231594	Inf	1.4565579625048992	1.5253875528812617
H	Middle Frontal Gyrus	1.5803331935911689	0.0152610476260147	Inf	1.5504220898778296	1.6102442973045081
