contrast	Cluster	estimate	SE	df	z.ratio	p.value
cingulate - temporal_lobe_other	3	0.09919429592179774	0.40746640374131815	Inf	0.2434416555843747	0.9999999999999991
frontal - insula	3	1.015343674728304	0.35537643150672943	Inf	2.8570934499607565	0.0860467584020459
frontal - mesial_temp	3	-0.1300381533822949	0.32108220932008535	Inf	-0.40499955963819995	0.9999999999717722
frontal - occipital	3	1.3993087432392604	0.3750787811774162	Inf	3.7307062234943453	0.004002171992862458
frontal - parietal	3	-1.608674727866411	0.2993495111391974	Inf	-5.373901302676182	1.6180706770008157e-6
frontal - temporal_lobe_other	3	1.3227834379506855	0.3707120220051551	Inf	3.5682237408861024	0.0075205351307239265
insula - mesial_temp	3	-1.145381828110599	0.3562358468449179	Inf	-3.21523462126265	0.027017148710911876
insula - occipital	3	0.38396506851095624	0.40331450504603855	Inf	0.9520239508051574	0.9998431734608152
insula - parietal	3	-2.6240184025947153	0.3388879765626933	Inf	-7.743025967488933	2.028377465990161e-13
insula - temporal_lobe_other	3	0.3074397632223814	0.3994852033259019	Inf	0.7695898638117282	0.9999951383808645
mesial_temp - occipital	3	1.529346896621555	0.37583713498064714	Inf	4.069174528749814	9.90312619116307e-4
mesial_temp - parietal	3	-1.4786365744841161	0.30009225824516905	Inf	-4.927273309650332	1.7510720522029288e-5
mesial_temp - temporal_lobe_other	3	1.4528215913329805	0.37154113185237364	Inf	3.9102577528623064	0.001934367332841802
occipital - parietal	3	-3.007983471105671	0.36005793361420746	Inf	-8.354165233666663	2.3314683517128287e-15
occipital - temporal_lobe_other	3	-0.07652530528857482	0.4165170290947092	Inf	-0.1837267144992869	1
parietal - temporal_lobe_other	3	2.9314581658170966	0.35545961685089494	Inf	8.246951346506286	2.3314683517128287e-15
