Cortex	RegionCor	n
BG	-0.29411764705882354	16
Cing	0.21678321678321683	12
FL	-0.0383497421472105	80
Ins	-0.9523809523809526	8
OL	0.08614369501466276	32
Other	-0.7082649151614668	28
PL	0.45565217391304347	24
SC	-0.0588235294117647	16
TL-M	0.8705882352941177	16
TL-O	0.9629765395894427	32
