lobe	stat	p	p.correct
Mesial Temporal	2.288868667063151	0.02208698426479838	0.025768148308931448
Temporal (other)	3.000995110984307	0.002690988855408749	0.008159070004839213
Insula	1.6527231450930435	0.09838722169973724	0.09838722169973724
Frontal	3.0066238457548637	0.0026416642272550916	0.008159070004839213
Cingulate	2.3263135308842107	0.02000183071051853	0.025768148308931448
Occipital	2.8277276847566313	0.00468796654949144	0.00820394146161002
Parietal	2.9203179520425255	0.0034967442877882338	0.008159070004839213
