contrast	Subtype	estimate	SE	df	z.ratio	p.value
SC - (TL-M)	IL	0.08996404806583866	0.07104937321350183	Inf	1.2662187433448377	0.9997460993221617
SC - (TL-O)	IL	-0.012861784045661379	0.07104937321350183	Inf	-0.1810260029601105	1
(TL-M) - (TL-O)	IL	-0.10282583211150004	0.07104937321350185	Inf	-1.4472447463049476	0.9968451824291071
BG - Cing	L	-0.29372780389083963	0.048834661314988696	Inf	-6.0147402681113	6.486312487119505e-8
BG - FL	L	-0.3228327116375292	0.0488346613149887	Inf	-6.610728997488572	1.3767547102361277e-9
BG - Ins	L	-0.41818021260415356	0.048834661314988696	Inf	-8.563184454313038	0
BG - OL	L	-0.5331100150818355	0.0488346613149887	Inf	-10.916631767817941	0
BG - PL	L	-0.2559117457018333	0.048834661314988696	Inf	-5.240371056352283	5.769129022392683e-6
BG - SC	L	-0.23850572601691308	0.0488346613149887	Inf	-4.883943485929513	3.74338791695461e-5
BG - (TL-M)	L	-0.6680546930482413	0.04883466131498871	Inf	-13.679928867310416	0
BG - (TL-O)	L	-0.6246745140129257	0.04883466131498869	Inf	-12.791621712777111	0
Cing - FL	L	-0.0291049077466896	0.04883466131498769	Inf	-0.5959887293772856	0.9999999999997018
Cing - Ins	L	-0.12445240871331395	0.048834661314987676	Inf	-2.548444186201793	0.3240656811187007
Cing - OL	L	-0.23938221119099592	0.04883466131498768	Inf	-4.901891499706744	3.417000591587893e-5
Cing - PL	L	0.03781605818900635	0.048834661314987704	Inf	0.7743692117590326	0.9999999990652968
Cing - SC	L	0.05522207787392652	0.048834661314987704	Inf	1.1307967821818081	0.9999785426041987
Cing - (TL-M)	L	-0.37432688915740164	0.04883466131498771	Inf	-7.665188599199274	6.434852650727407e-13
Cing - (TL-O)	L	-0.3309467101220861	0.048834661314987704	Inf	-6.776881444665947	4.4207038030208423e-10
FL - Ins	L	-0.09534750096662435	0.048834661314987676	Inf	-1.9524554568245072	0.847421948095493
FL - OL	L	-0.21027730344430634	0.04883466131498769	Inf	-4.305902770329459	5.985277364339847e-4
FL - PL	L	0.06692096593569595	0.048834661314987704	Inf	1.370357941136318	0.9988088328476258
FL - SC	L	0.08432698562061612	0.048834661314987704	Inf	1.7267855115590935	0.9578577897777318
FL - (TL-M)	L	-0.3452219814107121	0.04883466131498771	Inf	-7.06919986982199	5.609912534509931e-11
FL - (TL-O)	L	-0.3018418023753965	0.04883466131498769	Inf	-6.180892715288663	2.294644452227601e-8
Ins - OL	L	-0.11492980247768197	0.04883466131498769	Inf	-2.353447313504952	0.4913090035805816
Ins - PL	L	0.1622684669023203	0.04883466131498768	Inf	3.3228133979608256	0.0315859300272987
Ins - SC	L	0.17967448658724047	0.04883466131498768	Inf	3.6792409683836014	0.00838706547578738
Ins - (TL-M)	L	-0.24987448044408772	0.04883466131498769	Inf	-5.116744412997486	1.1190697299157115e-5
Ins - (TL-O)	L	-0.20649430140877212	0.04883466131498767	Inf	-4.228437258464158	8.468036518579636e-4
OL - PL	L	0.27719826938000225	0.04883466131498769	Inf	5.676260711465776	4.956151453683333e-7
OL - SC	L	0.2946042890649224	0.04883466131498769	Inf	6.032688281888552	5.805154190685613e-8
OL - (TL-M)	L	-0.13494467796640575	0.04883466131498771	Inf	-2.763297099492533	0.18664367075630517
OL - (TL-O)	L	-0.09156449893109014	0.0488346613149877	Inf	-1.8749899449592038	0.8954343306085993
PL - SC	L	0.01740601968492017	0.04883466131498769	Inf	0.3564275704227756	1
PL - (TL-M)	L	-0.412142947346408	0.048834661314987704	Inf	-8.439557810958307	0
PL - (TL-O)	L	-0.36876276831109245	0.04883466131498768	Inf	-7.551250656424982	1.5507595207964187e-12
SC - (TL-M)	L	-0.42954896703132817	0.04883466131498769	Inf	-8.795985381381087	0
SC - (TL-O)	L	-0.3861687879960126	0.048834661314987676	Inf	-7.907678226847759	9.592326932761353e-14
(TL-M) - (TL-O)	L	0.0433801790353156	0.04883466131498772	Inf	0.8883071545333295	0.9999999535170574
