Dataset,Subtype,Region,ZS Gray Matter Volume,Cortical Region,Time
ADNI,1,Inferior Temporal Gyrus,-0.3616763722020998,TL-O,MCI
ADNI,1,Lateral Orbital Gyrus,-0.6062558906331499,FL,MCI
ADNI,1,Lingual Gyrus,-0.3830388765567904,OL,MCI
ADNI,1,Medial Frontal Cortex,-0.6355602905217952,FL,MCI
ADNI,1,Medial Orbital Gyrus,-0.6391774956459282,FL,MCI
ADNI,1,Middle Cingulate Gyrus,-0.5102593189681893,Cing,MCI
ADNI,1,Middle Frontal Gyrus,-0.6582054995506318,FL,MCI
ADNI,1,Middle Occipital Gyrus,-0.3374523940838773,OL,MCI
ADNI,1,Middle Temporal Gyrus,-0.511470569299211,TL-O,MCI
ADNI,1,Occipital Fusiform Gyrus,-0.3983421013600446,OL,MCI
ADNI,1,Occipital Pole,-0.3835812687849011,OL,MCI
ADNI,1,Opercular Part of the Inferior Frontal Gyrus,-0.6097774292418132,FL,MCI
ADNI,1,Orbital Part of the Inferior Frontal Gyrus,-0.5913929227035669,FL,MCI
ADNI,1,Pallidum,0.2681729978142243,BG,MCI
ADNI,1,Parahippocampus Gyrus,-0.15762127530340994,TL-M,MCI
ADNI,1,Parietal Operculum,-0.5561730989861796,FL,MCI
ADNI,1,Planum Polare,-0.5388835743307974,TL-O,MCI
ADNI,1,Planum Temporale,-0.5889745656341274,TL-O,MCI
ADNI,1,Postcentral Gyrus,-0.35334744536151136,PL,MCI
ADNI,1,Postcentral Gyrus Medial Segment,-0.0978667256202252,PL,MCI
ADNI,1,Posterior Cingulate Gyrus,-0.4978243446090669,Cing,MCI
ADNI,1,Posterior Insula,-0.33017006834322443,Ins,MCI
ADNI,1,Posterior Orbital Gyrus,-0.5607222757704469,FL,MCI
ADNI,1,Precentral Gyrus,-0.43373563475245436,FL,MCI
ADNI,1,Precentral Gyrus Medial Segment,-0.2721945629590579,FL,MCI
ADNI,1,Precuneus,-0.534432537280943,PL,MCI
ADNI,1,Putamen,-0.04445425345912279,BG,MCI
ADNI,1,Subcallosal Area,-0.49699962231822975,FL,MCI
ADNI,1,Superior Frontal Gyrus,-0.48477736980114966,FL,MCI
ADNI,1,Superior Frontal Gyrus Medial Segment,-0.5961231102286861,FL,MCI
ADNI,1,Superior Occipital Gyrus,-0.20727646662671212,OL,MCI
ADNI,1,Superior Parietal Lobule,-0.2921000914811325,PL,MCI
ADNI,1,Superior Temporal Gyrus,-0.44552056041751087,TL-O,MCI
ADNI,1,Supplementary Motor Cortex,-0.5280272620151842,FL,MCI
ADNI,1,Supramarginal Gyrus,-0.37925260786153453,PL,MCI
ADNI,1,Temporal Pole,-0.23854514993717651,TL-O,MCI
ADNI,1,Thalamus Proper,-0.35662860810106767,SC,MCI
ADNI,1,Transverse Temporal Gyrus,-0.6179245651636169,TL-O,MCI
ADNI,1,Triangular Part of the Inferior Frontal Gyrus,-0.7189185456754736,FL,MCI
ADNI,1,Ventral DC,-0.14265569335143863,SC,MCI
ADNI,2,Accumbens,0.5182449912706955,BG,MCI
ADNI,2,Amygdala,0.07995221832363265,TL-M,MCI
ADNI,2,Angular Gyrus,0.40295111569287684,PL,MCI
ADNI,2,Anterior Cingulate Gyrus,0.5845315756479378,Cing,MCI
ADNI,2,Anterior Insula,0.2586383897985966,Ins,MCI
ADNI,2,Anterior Orbital Gyrus,0.38152566148987804,FL,MCI
ADNI,2,Basal Forebrain,0.29214229461406,SC,MCI
ADNI,2,Calcarine Cortex,-0.42675727538155506,OL,MCI
ADNI,2,Caudate,0.5800285159065948,BG,MCI
ADNI,2,Central Operculum,0.4482355013072482,FL,MCI
ADNI,2,Cerebral White Matter,0.2274391300946628,SC,MCI
ADNI,2,Cuneus,-0.0530432915767922,OL,MCI
ADNI,2,Entorhinal Area,-0.04281845429920709,TL-M,MCI
ADNI,2,Frontal Operculum,0.42785954068011767,FL,MCI
ADNI,2,Frontal Pole,0.20756173838899755,FL,MCI
ADNI,2,Fusiform Gyrus,0.1257099005376737,TL-O,MCI
ADNI,2,Gyrus Rectus,0.4074094051441768,FL,MCI
ADNI,2,Hippocampus,0.10179465473491031,TL-M,MCI
ADNI,2,Inferior Occipital Gyrus,0.08772622320604881,OL,MCI
ADNI,2,Inferior Temporal Gyrus,0.10458217739380865,TL-O,MCI
ADNI,2,Lateral Orbital Gyrus,0.26531685676327277,FL,MCI
ADNI,2,Lingual Gyrus,-0.1471542048884166,OL,MCI
ADNI,2,Medial Frontal Cortex,0.5061827496088631,FL,MCI
ADNI,2,Medial Orbital Gyrus,0.37241745284086847,FL,MCI
ADNI,2,Middle Cingulate Gyrus,0.5945978762366508,Cing,MCI
ADNI,2,Middle Frontal Gyrus,0.5715674893000887,FL,MCI
ADNI,2,Middle Occipital Gyrus,0.16367017910763204,OL,MCI
ADNI,2,Middle Temporal Gyrus,0.24946247791373155,TL-O,MCI
ADNI,2,Occipital Fusiform Gyrus,-0.10674111598870031,OL,MCI
ADNI,2,Occipital Pole,-0.18593198392909388,OL,MCI
ADNI,2,Opercular Part of the Inferior Frontal Gyrus,0.33180841800987354,FL,MCI
ADNI,2,Orbital Part of the Inferior Frontal Gyrus,0.12238553050420317,FL,MCI
ADNI,2,Pallidum,-0.028949036409988152,BG,MCI
ADNI,2,Parahippocampus Gyrus,0.0036258328341601882,TL-M,MCI
ADNI,2,Parietal Operculum,0.17143349106864766,FL,MCI
ADNI,2,Planum Polare,0.2435027804732138,TL-O,MCI
ADNI,2,Planum Temporale,0.070441162850696,TL-O,MCI
ADNI,2,Postcentral Gyrus,0.510731455739839,PL,MCI
ADNI,2,Postcentral Gyrus Medial Segment,0.25975952218017617,PL,MCI
ADNI,2,Posterior Cingulate Gyrus,0.45375297034474654,Cing,MCI
ADNI,2,Posterior Insula,0.209021227040237,Ins,MCI
ADNI,2,Posterior Orbital Gyrus,0.098341525431785,FL,MCI
ADNI,2,Precentral Gyrus,0.3042906512308745,FL,MCI
ADNI,2,Precentral Gyrus Medial Segment,0.20582779511392704,FL,MCI
ADNI,2,Precuneus,0.3734979933076193,PL,MCI
ADNI,2,Putamen,0.4299297984470683,BG,MCI
ADNI,2,Subcallosal Area,0.2969489305404265,FL,MCI
ADNI,2,Superior Frontal Gyrus,0.5090537238602942,FL,MCI
ADNI,2,Superior Frontal Gyrus Medial Segment,0.4092937133211942,FL,MCI
ADNI,2,Superior Occipital Gyrus,0.04088042056258934,OL,MCI
ADNI,2,Superior Parietal Lobule,0.46415168990212785,PL,MCI
ADNI,2,Superior Temporal Gyrus,0.2614519516990373,TL-O,MCI
ADNI,2,Supplementary Motor Cortex,0.5158537950301529,FL,MCI
ADNI,2,Supramarginal Gyrus,0.4715833785494636,PL,MCI
ADNI,2,Temporal Pole,0.04842485180641956,TL-O,MCI
ADNI,2,Thalamus Proper,0.06232303304922398,SC,MCI
ADNI,2,Transverse Temporal Gyrus,-0.030859050626818266,TL-O,MCI
ADNI,2,Triangular Part of the Inferior Frontal Gyrus,0.2866314377163711,FL,MCI
ADNI,2,Ventral DC,-0.05703419523748601,SC,MCI
ADNI,3,Accumbens,0.23666366040475392,BG,MCI
ADNI,3,Amygdala,0.6598647941932312,TL-M,MCI
ADNI,3,Angular Gyrus,0.45783098514230114,PL,MCI
ADNI,3,Anterior Cingulate Gyrus,0.2803085394132733,Cing,MCI
ADNI,3,Anterior Insula,0.40087708579538467,Ins,MCI
ADNI,3,Anterior Orbital Gyrus,0.29825513793737446,FL,MCI
ADNI,3,Basal Forebrain,0.4692465849628539,SC,MCI
ADNI,3,Calcarine Cortex,0.3456943285060948,OL,MCI
ADNI,3,Caudate,-0.11129745156935221,BG,MCI
ADNI,3,Central Operculum,0.4483095933362878,FL,MCI
ADNI,3,Cerebral White Matter,-0.2384791972419696,SC,MCI
ADNI,3,Cuneus,0.44511520991751524,OL,MCI
ADNI,3,Entorhinal Area,0.6759989827380121,TL-M,MCI
ADNI,3,Frontal Operculum,0.42929658890489,FL,MCI
ADNI,3,Frontal Pole,0.18813129568100653,FL,MCI
ADNI,3,Fusiform Gyrus,0.6877806621779592,TL-O,MCI
ADNI,3,Gyrus Rectus,0.4208861356318196,FL,MCI
ADNI,3,Hippocampus,0.6779650356020672,TL-M,MCI
ADNI,3,Inferior Occipital Gyrus,0.6164307276835739,OL,MCI
ADNI,3,Inferior Temporal Gyrus,0.7107483962206429,TL-O,MCI
ADNI,3,Lateral Orbital Gyrus,0.3551622900842554,FL,MCI
ADNI,3,Lingual Gyrus,0.6210139330166674,OL,MCI
ADNI,3,Medial Frontal Cortex,0.4440166690359049,FL,MCI
ADNI,3,Medial Orbital Gyrus,0.40581609721779566,FL,MCI
ADNI,3,Middle Cingulate Gyrus,0.17009503617904928,Cing,MCI
ADNI,3,Middle Frontal Gyrus,0.25248318774646517,FL,MCI
ADNI,3,Middle Occipital Gyrus,0.5560670352592254,OL,MCI
ADNI,3,Middle Temporal Gyrus,0.6950483657544105,TL-O,MCI
ADNI,3,Occipital Fusiform Gyrus,0.6860030272880463,OL,MCI
ADNI,3,Occipital Pole,0.4646946962632752,OL,MCI
ADNI,3,Opercular Part of the Inferior Frontal Gyrus,0.2837914446978488,FL,MCI
ADNI,3,Orbital Part of the Inferior Frontal Gyrus,0.4498785931596393,FL,MCI
ADNI,3,Pallidum,-0.18419296487124537,BG,MCI
ADNI,3,Parahippocampus Gyrus,0.6332264795999009,TL-M,MCI
ADNI,3,Parietal Operculum,0.39386211160923096,FL,MCI
ADNI,3,Planum Polare,0.5810301129698153,TL-O,MCI
ADNI,3,Planum Temporale,0.5700305773524552,TL-O,MCI
ADNI,3,Postcentral Gyrus,0.1192998012976487,PL,MCI
ADNI,3,Postcentral Gyrus Medial Segment,-0.01714718924643679,PL,MCI
ADNI,3,Posterior Cingulate Gyrus,0.41899957096266444,Cing,MCI
ADNI,3,Posterior Insula,0.4150976749812903,Ins,MCI
ADNI,3,Posterior Orbital Gyrus,0.5248665396861307,FL,MCI
ADNI,3,Precentral Gyrus,0.1621403588305627,FL,MCI
ADNI,3,Precentral Gyrus Medial Segment,0.03538403032687889,FL,MCI
ADNI,3,Precuneus,0.37009728937213066,PL,MCI
ADNI,3,Putamen,0.05458356176034029,BG,MCI
ADNI,3,Subcallosal Area,0.3975998900291099,FL,MCI
ADNI,3,Superior Frontal Gyrus,0.18717410982497976,FL,MCI
ADNI,3,Superior Frontal Gyrus Medial Segment,0.3834514236982403,FL,MCI
ADNI,3,Superior Occipital Gyrus,0.3055851559639178,OL,MCI
ADNI,3,Superior Parietal Lobule,0.1811596508465681,PL,MCI
ADNI,3,Superior Temporal Gyrus,0.5766605668924399,TL-O,MCI
ADNI,3,Supplementary Motor Cortex,0.08882833051202298,FL,MCI
ADNI,3,Supramarginal Gyrus,0.35051546274680023,PL,MCI
ADNI,3,Temporal Pole,0.6324841534097886,TL-O,MCI
ADNI,3,Thalamus Proper,0.2549176642132135,SC,MCI
ADNI,3,Transverse Temporal Gyrus,0.4569376845873649,TL-O,MCI
ADNI,3,Triangular Part of the Inferior Frontal Gyrus,0.3670363150594056,FL,MCI
ADNI,3,Ventral DC,0.47427247571126524,SC,MCI
ADNI_AD,0,Accumbens,-0.6943637443595508,BG,AD
ADNI_AD,0,Amygdala,-1.4488210106314787,TL-M,AD
ADNI_AD,0,Angular Gyrus,-1.0241848570706304,PL,AD
ADNI_AD,0,Anterior Cingulate Gyrus,-0.5697580661982047,Cing,AD
ADNI_AD,0,Anterior Insula,-0.6651424278737832,Ins,AD
ADNI_AD,0,Anterior Orbital Gyrus,-0.45914615619683646,FL,AD
ADNI_AD,0,Basal Forebrain,-0.8224166144523801,SC,AD
ADNI_AD,0,Calcarine Cortex,-0.19657785081781373,OL,AD
ADNI_AD,0,Caudate,-0.2912372673544155,BG,AD
ADNI_AD,0,Central Operculum,-0.6490269080456573,FL,AD
ADNI_AD,0,Cerebral White Matter,0.25833587504969624,SC,AD
ADNI_AD,0,Cuneus,-0.5808173182734725,OL,AD
ADNI_AD,0,Entorhinal Area,-1.3325515395686016,TL-M,AD
